,Price,Year,Mileage,City,State,Make,Model
439327,11988,2013,46963,Lauderdale Lakes, FL,Hyundai,SonataLimited
395426,19595,2015,24896,Orlando, FL,Honda,Accord
840064,15270,2013,64763,Fort Wayne, IN,Volkswagen,TiguanSE
687872,21900,2016,22948,Bradenton, FL,Nissan,370ZCoupe
348479,65691,2017,2274,Ft. Worth, TX,Ford,F-150Raptor
684673,14869,2017,741,Henderson, NV,Nissan,Versa
23650,58926,2016,8645,Naples, FL,Audi,A73.0T
135968,12500,2013,170885,NEWARK, NJ,Chevrolet,Express
25463,10777,2008,76048,El Paso, TX,BMW,3
492425,19477,2016,30595,Beavercreek, OH,Jeep,RenegadeTrailhawk
121763,7233,2013,87660,Fargo, ND,Chevrolet,Spark1LT
193841,28795,2017,18948,Portales, NM,Chrysler,PacificaTouring-L
360635,27703,2015,40699,Perrysburg, OH,GMC,AcadiaFWD
282988,18293,2016,24947,Akron, OH,Ford,TaurusLimited
776922,12488,2011,99429,Colorado Springs, CO,Toyota,RAV44WD
410500,22998,2015,28205,Olathe, KS,Honda,CR-VEX-L
246085,17917,2017,29449,Omaha, NE,Ford,FusionHybrid
518319,42997,2017,6869,Clearwater, FL,Jeep,Wrangler
67804,34995,2017,18347,Vacaville, CA,Buick,EnclaveLeather
398548,7691,2010,131482,Roswell, GA,Honda,Accord
305264,28000,2015,56147,Windsor, CO,Ford,ExplorerLimited
58357,16877,2015,30435,Paso Robles, CA,Buick,EncoreFWD
59000,17500,2014,17487,Louisville, KY,Buick,EncoreLeather
99804,12199,2014,46590,Lisle, IL,Chevrolet,CruzeECO
778862,11495,2013,79199,Baltimore, MD,Toyota,CamrySE
670202,18900,2014,23184,Garland, TX,Nissan,PathfinderSV
47664,40904,2017,4212,Ft. Lauderdale, FL,BMW,X3sDrive28i
835086,4999,2009,143193,Houston, TX,Volkswagen,Jetta
687631,27999,2015,31912,Greenville, NC,Nissan,Pathfinder4WD
